SNName,TNSName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,DiscAtel,ClassAtel
ASASSN-18hg,SN 2018ard,2018-04-08.28,'13:31:19.60,'-33:13:54.16,0.05,17.5,---,16.72,0.45,Ia,-9,WINGS J133119.62-331354.0,,
ASASSN-18hh,SN 2018are,2018-04-05.17,'13:49:27.10,'+26:27:42.55,0.076358,18.3,---,17.56,4.71,Ia-91T,18,2MASX J13492678+2627426,,
ASASSN-18hq,SN 2018arx,2018-04-09.18,'14:06:34.81,'-32:34:44.08,0.033853,17.2,---,17.37,7.12,IIb,8,ESO 446-G 008,,
ASASSN-18hu,AT 2018atn,2018-04-12.03,'13:27:57.60,'-24:29:44.92,0.026492,17.3,---,16.37,35.31,Ia,-6,ESO 509-G 018,,
ASASSN-18hv,AT 2018auj,2018-04-09.45,'14:53:46.96,'+72:35:52.91,Unk,17.6,---,17.4,0.7,Unk,11,2MASX J14534719+7235530,,
ASASSN-18hw,SN 2018aum,2018-04-13.33,'14:22:02.16,'-28:02:31.92,0.025164,18,---,16.3,5.46,II,-14,2MASX J14220184-2802358,,
ASASSN-18hy,SN 2018aun,2018-04-14.39,'21:31:48.13,'-46:02:30.98,0.03,16.6,---,16.49,3.61,Ia,1,2MASS J21314844-4602319,,
ASASSN-18hz,SN 2018aur,2018-04-14.30,'12:44:38.49,'+06:18:04.75,0.056088,18.2,---,17.17,0.15,Ia,-8,2MASX J12443847+0618049,,
ASASSN-18ia,SN 2018aus,2018-04-14.94,'11:00:11.08,'-36:31:40.44,0.06,17.9,---,17.16,3.21,Ia,3,2MASX J11001114-3631436,,
ASASSN-18ie,AT 2018avh,2018-04-16.27,'13:11:39.38,'+06:19:10.27,0.04576,17.4,---,17.02,0.95,Unk,9,VIII Zw 260W,,
ASASSN-18ii,SN 2018avp,2018-04-16.26,'13:00:26.53,'+18:37:09.84,0.052717,17.9,---,17.23,4.54,Ia,9,SDSS J130026.83+183711.1,,
ASASSN-18im,SN 2018avv,2018-04-17.22,'13:51:34.32,'-05:53:25.08,0.06,17.8,---,17.22,1.14,Ia,-8,WISEA J135134.34-055325.7,,
ASASSN-18io,SN 2018awn,2018-04-20.23,'11:30:11.64,'+04:24:55.57,0.029123,16.9,---,16.17,0.62,Ia,11,2MASX J11301164+0424561,,
ASASSN-18is,AT 2018awo,2018-04-19.96,'12:16:22.85,'-35:01:04.94,0.06,18.1,---,17.09,10,Ia,-4,GALEXASC J121622.42-350056.3,,
ASASSN-18it,SN 2018awt,2018-04-19.93,'11:48:45.28,'-18:24:36.11,0.07,18.2,---,16.66,2.71,Ia,6,GALEXASC J114845.20-182438.5,,
ASASSN-18iu,SN 2018aye,2018-04-21.32,'17:57:40.18,'+50:02:18.92,0.017,18,---,15.69,25.31,Ia,14,SDSS J175740.70+500154.1,,
ASASSN-18iv,SN 2018ayf,2018-04-21.74,'09:41:10.65,'+24:01:21.00,0.070028,17.2,---,16.85,3.34,Ia-91T,9,2MASX J09411042+2401218,,
ASASSN-18iw,SN 2018ayg,2018-04-21.28,'14:43:39.15,'+18:52:12.25,0.030973,18.1,---,16.72,1.23,Ia,15,2MASX J14433925+1852124,,
ASASSN-18ji,SN 2018beh,2018-05-04.04,'09:31:23.03,'+17:48:27.90,0.06,17.4,---,16.82,1.68,Ib/c,-4,WISEA J093123.04+174828.2,,
ASASSN-18jk,SN 2018bfa,2018-05-05.04,'10:15:30.23,'-72:42:37.01,0.029,16.8,---,16.5,8.7,Ia,2,2MASS J10153212-7242350,,
ASASSN-18jl,SN 2018bfc,2018-05-05.41,'23:22:58.45,'-01:01:39.18,0.034266,17,---,16.99,2.58,Ia,0,SDSS J232258.36-010141.2,,
ASASSN-18jm,SN 2018bfg,2018-05-05.84,'11:41:01.79,'-33:40:47.32,0.053,17.6,---,17.3,1.3,Ia,1,WISEA J114101.88-334047.6,,
ASASSN-18jn,SN 2018bfh,2018-05-06.16,'10:22:41.13,'+15:56:21.48,0.044541,17,---,16.77,0.44,Ia,6,CGCG 094-019,,
ASASSN-18jo,SN 2018bfq,2018-05-05.72,'09:38:14.91,'-08:47:17.70,0.06,17.7,---,17.05,0.46,Ia,-8,2MASXi J0938149-084717,,
ASASSN-18jp,SN 2018bfr,2018-05-04.74,'11:04:47.46,'-15:37:59.20,0.071746,17.9,---,17.42,9.61,Ia,2,2MASX J11044706-1538068,,
ASASSN-18jv,AT 2018bkw,2018-05-13.04,'10:22:52.67,'-19:40:14.02,0.021512,17.3,---,16.98,2.27,Unk,5,2MASX J10225269-1940116,,
ASASSN-18kd,SN 2018brz,2018-05-15.07,'08:33:22.28,'-76:37:39.86,0.019,16.5,---,16.1,3.69,Ia,7,2MASX J08332211-7637363,,
ASASSN-18ke,SN 2018bsg,2018-05-15.75,'10:10:28.16,'+02:13:48.76,0.021686,17.9,---,17.27,8.36,IIb,13,UGC 05487,,
ASASSN-18kh,SN 2018bsh,2018-05-15.97,'14:39:30.17,'-35:11:21.12,0.06,17.9,---,17.71,10.3,Ia,2,WISEA J143930.63-351112.5,,
ASASSN-18kl,SN 2018bsr,2018-05-16.32,'19:27:38.75,'+61:56:50.06,0.04,17.3,---,16.13,41.55,Ia,13,VII Zw 884,,
ASASSN-18km,SN 2018bsz,2018-05-17.00,'16:09:39.10,'-32:03:45.72,0.026665,17.2,---,16.02,1.92,II,7,2MASX J16093905-3203443,,
ASASSN-18kn,SN 2018btm,2018-05-13.61,'23:19:44.46,'+22:30:08.24,0.039,17.3,---,16.55,8.76,Ia,-4,2MASX J23194510+2230081,,
ASASSN-18ko,SN 2018btn,2018-05-17.92,'13:33:36.46,'-33:12:25.81,0.048617,18,---,16.9,1.35,Ia,10,2MASX J13333656-3312251,,
